P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_UPDATE,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_MASS_LIMIT,P_MASS_ORIGIN,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_RADIUS_LIMIT,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_PERIOD_LIMIT,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_SEMI_MAJOR_AXIS_LIMIT,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_ECCENTRICITY_LIMIT,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_INCLINATION_LIMIT,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_OMEGA_LIMIT,S_NAME,S_NAME_HD,S_NAME_HIP,S_TYPE,S_RA,S_DEC,S_RA_STR,S_DEC_STR,S_MAG,S_MAG_ERROR_MIN,S_MAG_ERROR_MAX,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_TEMPERATURE_LIMIT,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_MASS_LIMIT,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_RADIUS_LIMIT,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_METALLICITY_LIMIT,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_AGE_LIMIT,S_LOG_LUM,S_LOG_LUM_ERROR_MIN,S_LOG_LUM_ERROR_MAX,S_LOG_LUM_LIMIT,S_LOG_G,S_LOG_G_ERROR_MIN,S_LOG_G_ERROR_MAX,S_LOG_G_LIMIT,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TEMP_SURF,P_TEMP_SURF_MIN,P_TEMP_SURF_MAX,P_TYPE,S_TYPE_TEMP,S_RA_TXT,S_DEC_TXT,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
OGLE-2016-BLG-1227L b,Microlensing,OGLE,2020,02-04-2020,250,-120,413,0,Mass,13.9,,,0,,,,0,3.4,-1,2.1,0,,,,0,,,,0,,,,0,OGLE-2016-BLG-1227L,,,,265.59713,-33.759778,17h42m23.31s,-33d45m35.2s,,,,,,,,,,0,0.1,-0.05,0.17,0,,,,0,,,,0,,,,0,,,,0,,,,0,4.2409446,17.985612,1.2939289,0.093088409,0.46157701,3.4,3.4,3.4,3.4,,,,,,,,,,Jovian,,17 42 23.31,-33 45 35.20,,,,,,,,,,,,0.21413342,0,0,,0,,Scorpius,Sco,Scorpion
Kepler-276 c,Transit,Kepler,2013,25-09-2018,16.6,-3.6,4.4,0,Mass,2.9,-0.28,1.27,0,31.884,,,0,0.1994,,,0,0,,,0,86.92,,,0,,,,0,Kepler-276,,,,293.5682,39.036312,19h34m16.37s,+39d02m10.72s,15.481,-0.172,0.172,1144.86,-42.76,46.15,5779,-86,78,0,1.1,-0.14,0.22,0,1.03,-0.1,0.45,0,0.02,-0.164,0.133,0,0.4,-2.1,2.1,0,-0.089,,,0,4.46,-0.3,0.05,0,2.3925171,5.7241379,1.9738407,0.68063471,0.004928887,0.1994,0.1994,0.1994,0.1994,20.490365,20.490365,20.490365,541.98483,541.98483,541.98483,,612.0867,612.0867,Neptunian,G,19 34 16.37,+39 02 10.72,0.81470428,0.67733674,1.5957419,0.85793091,1.5129084,0.90721227,1.5129084,0.82816711,1.5129084,2.4370462,2.0977833,0.31698039,0,0,Hot,0,0.27203194,Cygnus,Cyg,Swan
Kepler-829 b,Transit,Kepler,2016,16-04-2019,5.1,,,0,M-R relationship,2.11,-0.18,0.44,0,6.8833756,-1.96E-05,1.9630000e-05,0,0.0678,,,0,0,,,0,89.82,,,0,,,,0,Kepler-829,,,,282.33283,42.463813,18h49m19.88s,+42d27m49.73s,14.973,-0.092,0.092,1073.76,-25.35,26.58,5698,-120.29,92.85,0,0.98,-0.06,0.05,0,0.97,-0.08,0.2,0,0.03,-0.165,0.132,0,4.68,-2.88,4.13,0,0.04,,,0,4.46,-0.16,0.06,0,1.5546902,2.4170616,1.1455268,0.54290371,0.001175248,0.0678,0.0678,0.0678,0.0678,238.52868,238.52868,238.52868,1001.1171,1001.1171,1001.1171,1130.6044,1130.6044,1130.6044,Superterran,G,18 49 19.88,+42 27 49.73,1.0964782,0.78960296,1.8643421,1.0001322,1.7675657,1.0576599,1.7675657,0.96544651,1.7675657,2.8272471,1.7563169,0.45955889,0,0,Hot,0,0.25476271,Lyra,Lyr,Lyre
K2-283 b,Transit,K2,2018,05-09-2019,12.2,,,0,M-R relationship,3.52,-0.16,0.16,0,1.921036,-5.30E-05,5.1000000e-05,0,0.0291,-0.0003,0.0003,0,,,,0,,,,0,,,,0,K2-283,,,,13.194368,9.6929181,00h52m46.65s,+09d41m34.51s,14.364,-0.092,0.092,402.915,-4.907,5.027,5060,-70,70,0,0.89,-0.03,0.03,0,0.82,-0.01,0.01,0,0.28,-0.05,0.05,0,,,,0,-0.524,-0.013,0.013,0,4.56,-0.02,0.02,0,1.8616952,3.4659091,0.98463326,0.27972536,0.000696629,0.0291,0.0291,0.0291,0.0291,353.35726,353.35726,353.35726,1104.4682,1104.4682,1104.4682,,1247.3233,1247.3233,Neptunian,K,00 52 46.65,+09 41 34.51,0.29922646,0.42721564,1.0304731,0.54113104,0.9769811,0.57263032,0.9769811,0.52240045,0.9769811,1.4769431,0.56837407,0.44375963,0,0,Hot,0,0.19390612,Pisces,Psc,Fishes
Kepler-477 b,Transit,Kepler,2016,16-04-2019,4.94,,,0,M-R relationship,2.07,-0.12,0.18,0,11.119907,-1.16E-05,1.1600000e-05,0,0.0911,,,0,0,,,0,87.75,,,0,,,,0,Kepler-477,,,,288.06745,42.355305,19h12m16.19s,+42d21m19.10s,13.835,-0.114,0.114,367,-11.229,10.155,5240,-41.14,49.3,0,0.87,-0.03,0.03,0,0.79,-0.02,0.02,0,-0.04,-0.1,0.112,0,2.09,-0.737,1.33,0,-0.372,,,0,4.58,-0.01,0.01,0,1.5448215,2.3864734,1.1528857,0.55694962,0.001625697,0.0911,0.0911,0.0911,0.0911,51.163853,51.163853,51.163853,681.30334,681.30334,681.30334,769.42507,769.42507,769.42507,Superterran,K,19 12 16.19,+42 21 19.10,0.42461956,0.50426386,1.2081679,0.63872145,1.1454523,0.67576876,1.1454523,0.61660404,1.1454523,1.7593967,0.76850241,0.38614964,0,0,Hot,0,0.27672114,Lyra,Lyr,Lyre
TOI-1260 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2021,17-12-2022,13.2,-4.23,4.23,0,Mass,2.76,-0.07,0.07,0,7.493134,-2.00E-05,2.0000000e-05,0,0.0657,-0.002,0.002,0,0,,,0,87.97,-0.11,0.11,0,0,,,0,TOI-1260,,,K6 V,157.14407,65.854199,10h28m34.58s,+65d51m15.11s,11.922,-0.034,0.034,73.5977,-0.1601,0.1607,4227,-85,85,0,0.68,-0.06,0.1,0,0.67,-0.01,0.01,0,-0.1,-0.07,0.07,0,6.7,-5.2,5.1,0,-0.889,-0.014,0.013,0,4.57,-0.05,0.05,0,2.1869176,4.7826087,1.7328292,0.62783668,0.001766196,0.0657,0.0657,0.0657,0.0657,29.91364,29.91364,29.91364,595.75408,595.75408,595.75408,,672.81062,672.81062,Neptunian,K,10 28 34.58,+65 51 15.11,0.12912193,0.28981995,0.72539684,0.36710237,0.68773744,0.38885735,0.68773744,0.35439202,0.68773744,0.97020557,0.1242103,0.43192361,0,0,Hot,0,0.26044049,Ursa Major,UMa,Big Bear
HD 149143 b,Radial Velocity,Haute-Provence Observatory,2005,25-09-2018,422.7139,-47.6745,47.6745,0,Msini,13.6,,,0,4.07182,-1.00E-05,1.0000000e-05,0,0.053,-0.0029,0.0029,0,0.0167,-0.004,0.004,0,,,,0,217,-17,17,0,HD 149143,HD 149143,HIP 81022,G0,248.21267,2.0844547,16h32m51.04s,+02d05m04.04s,7.89,-0.03,0.03,73.2801,-0.3588,0.3623,5856,,,0,1.2,-0.2,0.2,0,1.44,-0.08,0.08,0,0.29,,,0,4.28,-0.68,0.68,0,0.35,-0.05,0.05,0,4.25,-0.05,0.05,0,5.5751147,31.081904,2.2854341,0.16804663,0.003681591,0.053007391,0.0521149,0.0538851,0.053001848,797.0927,771.01462,824.2827,1353.4874,1342.3488,1364.9563,,1515.972,1541.5037,Jovian,G,16 32 51.04,+02 05 04.04,2.2387211,1.1175982,2.627713,1.4155736,2.4913109,1.4967849,2.4913109,1.3664478,2.4913109,4.0398363,2.4649488,0.48438708,0,0,Hot,0,0.067319209,Ophiuchus,Oph,Serpent Holder
HD 99492 b,Radial Velocity,W. M. Keck Observatory,2004,19-09-2023,25.5,-0.6,0.6,0,Msini,5.44,,,0,17.0503,-0.0016,0.0016,0,0.12,0,0,0,0.034,-0.021,0.025,0,,,,0,154.3,-48,48.6,0,HD 99492,HD 99492,HIP 55848,K2 V,171.68969,3.0071331,11h26m45.52s,+03d00m25.68s,7.56727,-0.023,0.023,18.2038,-0.0577,0.0581,4929,-44,44,0,0.85,-0.02,0.02,0,0.82,-0.02,0.02,0,0.3,-0.03,0.03,0,4.8,-4.1,4.1,0,-0.475,-0.01,0.015,0,4.57,,,0,2.1650635,4.6875,0.86167279,0.15839573,0.003602888,0.12006936,0.11592,0.12408,0.12001735,23.274946,21.756871,24.92776,559.40675,550.17242,569.20738,,621.3333,642.83029,Neptunian,K,11 26 45.52,+03 00 25.68,0.33496544,0.45483697,1.1028369,0.57611888,1.045588,0.60974523,1.045588,0.5561812,1.045588,1.5626574,0.44692616,0.44012025,0,0,Hot,0,0.18841577,Leo,Leo,Lion
nu Oph c,Radial Velocity,Okayama Astrophysical Observatory,2012,19-09-2023,7838.3235,,,0,Mass,12,,,0,3180.6,-4.52,5.01,0,5.829,-0.006,0.006,0,0.179,-0.005,0.007,0,90,,,0,8.54,-1.9,1.9,0,nu Oph,HD 163917,HIP 88048,K0 III,269.7566,-9.7741342,17h59m01.58s,-09d46m26.88s,3.31216,-0.023,0.023,46.2107,-1.73313,1.73313,4887,,,0,2.61,-0.57,0.32,0,12.24,-1.76,2.55,0,0.1,-0.1,0.1,0,0.65,-0.17,0.17,0,1.895,-0.153,0.157,0,2.64,-0.1,0.1,0,25.557653,653.19362,54.432802,4.5360668,0.69063728,5.9223835,4.785609,6.872391,5.8525951,2.3490021,1.6625866,3.4286691,313.45519,289.26493,346.64194,,326.67928,391.4776,Jovian,K,17 59 01.58,-09 46 26.88,78.523563,6.97729,16.946994,8.8377849,16.067263,9.354073,16.067263,8.5319508,16.067263,23.925651,0.60437434,0.45841332,0,0,Hot,0,0.3373425,Ophiuchus,Oph,Serpent Holder
75 Cet b,Radial Velocity,Okayama Astrophysical Observatory,2012,19-09-2023,787.89662,-28.60456,23.5193,0,Msini,13.3,,,0,696.62,-1.69,1.33,0,1.912,-0.003,0.002,0,0.093,-0.042,0.026,0,,,,0,-157.6,-10.5,315.9,0,75 Cet,HD 15779,HIP 11791,G3 III,38.03916,-1.0350269,02h32m09.40s,-01d02m06.10s,5.3532,-0.023,0.023,82.9613,-0.72365,0.72365,4809,,,0,1.92,-0.08,0.07,0,10.38,-0.26,0.15,0,0.1,-0.05,0.08,0,,,,0,1.714,-0.021,0.012,0,2.69,-0.04,0.03,0,7.6967751,59.240347,4.4541615,0.33489936,0.128905,1.9202684,1.734184,2.089816,1.914073,14.220357,11.851789,17.211141,493.87889,472.65655,518.86231,,533.79131,585.97344,Jovian,G,02 32 09.40,-01 02 06.10,51.760683,5.6843376,13.85188,7.2000753,13.132814,7.6213842,13.132814,6.9509299,13.132814,19.425122,0.4771582,0.57339188,0,0,Hot,0,0.13562122,Cetus,Cet,Whale
