pl_name,pl_rade,pl_eqt,habitability_score
TOI-1693 b,2.122,384.0,1.0
TOI-1710 b,2.19,395.0,1.0
TOI-2368 b,2.08,368.0,1.0
TOI-2015 b,2.0,383.0,1.0
TOI-1246 b,1.672,326.0,1.0
TOI-1248 b,2.126,338.1,1.0
HIP 65 A b,2.39,359.0,1.0
TOI-1052 b,1.98,346.0,0.9866666666666667
HD 93963 A b,1.32,396.0,0.9766666666666667
TOI-1685 b,1.33,297.0,0.9733333333333334
HD 86226 c,2.438,324.4,0.9733333333333334
TOI-1680 b,2.3,329.0,0.9733333333333334
TOI-1683.01,1.25,347.0,0.93
GJ 341 b,0.958,314.6,0.8966666666666666
TOI-125 b,2.47,373.0,0.5866666666666667
NGTS-30 b,3.65,329.6,0.13333333333333333
TOI-431 b,2.047,420.0,0.1
TOI-1670 c,3.6831179,300.33,0.09333333333333334
HD 63935 b,1.627,416.0,0.07
TOI-1301.01,1.39,831.0,0.05
TOI-2373 b,1.362,1241.0,0.05
TOI-4504 c,10.4,163.0,0.04
HD 235088 b,2.39,498.0,0.03666666666666667
TOI-132 b,2.12,673.0,0.03333333333333333
HD 23472 b,2.42763557,1075.31,0.03333333333333333
TOI-1744.01,11.32107051,348.0,0.03333333333333333
TOI-1696 b,7.27,306.0,0.02666666666666667
TOI-2524 b,6.8,347.0,0.02666666666666667
TOI-4504 b,1.95,1329.0,0.023333333333333334
TOI-1298 b,2.36507598,694.09,0.023333333333333334
TOI-1694 b,2.08874836,780.53,0.023333333333333334
TOI-1420 b,2.079,493.7,0.023333333333333334
TOI-421 b,2.28,1038.0,0.02
TOI-2068 b,1.88,475.0,0.016666666666666666
HD 93963 A c,1.34,431.0,0.016666666666666666
TOI-1231 b,2.30381001,520.66,0.016666666666666666
HD 23472 c,2.14,967.11,0.016666666666666666
TOI-1453 c,11.09689089,378.0,0.013333333333333334
HD 110082 b,2.34302132,581.75,0.013333333333333334
TOI-333 b,2.517,416.0,0.013333333333333334
HD 15906 b,1.87,467.0,0.013333333333333334
TOI-1011 b,2.52,415.0,0.013333333333333334
TOI-1266 d,2.2963977,1285.16,0.013333333333333334
TOI-1601 b,2.268,944.2,0.013333333333333334
TOI-2046 b,2.34,661.0,0.013333333333333334
TOI-181 b,2.363,519.0,0.013333333333333334
TOI-2374 b,2.328,931.0,0.013333333333333334
HD 15337 c,2.0,543.0,0.01
TOI-1775 b,1.874,496.8,0.01
TOI-1801 b,2.86,449.0,0.01
TOI-1860 b,11.25381662,338.0,0.01
TOI-2525 b,9.42,191.0,0.01
TOI-3593 b,1.03,707.0,0.01
TOI-2010 b,2.33,489.0,0.01
HD 191939 d,1.36354953,1585.57,0.01
TOI-1221 b,2.24,944.2,0.006666666666666667
TOI-1136 g,1.8,1400.0,0.006666666666666667
TOI-1408 c,2.301,944.2,0.006666666666666667
TOI-1173 b,1.6,1000.0,0.006666666666666667
TOI-1249 b,2.18,734.0,0.0033333333333333335
HD 18599 b,1.137,630.0,0.0033333333333333335
TOI-1279 b,1.9,698.0,0.0033333333333333335
TOI-1772.01,0.994,603.1,0.0033333333333333335
DS Tuc A b,0.88,944.2,0.0033333333333333335
LHS 1678 c,1.45,944.2,0.0033333333333333335
LHS 1815 b,2.265,1077.0,0.0033333333333333335
TOI-2000 b,1.71,493.0,0.0033333333333333335
TOI-1235 b,1.41792246,2130.02,0.0033333333333333335
TOI-178 c,1.504,1478.0,0.0033333333333333335
TOI-3331 A b,10.78,939.0,0.0033333333333333335
TOI-1777.01,10.08808263,944.2,0.0033333333333333335
HD 191939 b,1.982,944.2,0.0033333333333333335
TOI-3980 b,2.378,794.0,0.0033333333333333335
TOI-4153 b,1.992,1055.8,0.0033333333333333335
HD 6061 b,2.001,1061.0,0.0033333333333333335
TOI-4308 b,1.798,520.0,0.0033333333333333335
NGTS-33 b,1.21,1133.0,0.0033333333333333335
TOI-4336 A b,1.93,944.2,0.0033333333333333335
TOI-4465 b,3.186,1317.0,0.0033333333333333335
Ross 176 b,2.11,695.0,0.0033333333333333335
TOI-3474 b,1.09,708.0,0.0033333333333333335
HD 191939 c,2.54535814,1198.46,0.0
HD 202772 A b,1.24,709.0,0.0
HD 20329 b,1.533,557.0,0.0
HD 207496 b,16.14096,2061.0,0.0
HD 207897 b,2.69,867.0,0.0
HD 213885 b,4.13,643.0,0.0
HD 21520 b,3.11,561.0,0.0
HD 21749 c,9.07303305,798.3,0.0
HD 219666 b,2.54,479.0,0.0
HD 221416 b,3.41,716.0,0.0
HD 22946 d,2.45,943.0,0.0
HD 23472 d,2.692,678.92,0.0
HD 23472 e,2.91575244,825.22,0.0
HD 23472 f,2.79,714.0,0.0
HD 25463 b,2.89646124,1128.86,0.0
HD 25463 c,2.16,1311.0,0.0
HD 260655 b,1.46954368,1842.23,0.0
HD 260655 c,3.11976057,1212.45,0.0
HD 2685 b,22.75427,1411.0,0.0
HD 28109 b,2.53625843,794.96,0.0
HD 28109 c,2.52442508,650.68,0.0
HD 28109 d,3.0,1060.0,0.0
HD 332231 b,3.82838127,640.88,0.0
HD 35843 c,3.42855926,470.31,0.0
HD 42813 b,2.4801338,701.66,0.0
HD 56414 b,1.979,1309.0,0.0
HD 63433 b,1.63,998.0,0.0
HD 63433 c,0.837,620.0,0.0
HD 63433 d,1.329,526.0,0.0
HD 73583 b,1.242,595.0,0.0
HD 73583 c,1.088,944.2,0.0
HD 77946 b,4.7,700.0,0.0
HIP 113103 b,1.147,508.0,0.0
HIP 113103 c,1.325,903.0,0.0
HIP 67522 b,4.72,1978.0,0.0
HIP 67522 c,9.157753,435.0,0.0
HIP 8152 b,11.99360935,688.0,0.0
HIP 8152 c,15.64773706,1783.0,0.0
HIP 94235 b,10.40193409,500.0,0.0
HIP 9618 b,18.04645893,1410.0,0.0
HIP 9618 c,18.38272835,1991.0,0.0
HIP 97166 b,1.84,682.0,0.0
