name,planet_status,mass,radius,orbital_period,semi_major_axis,eccentricity,detection_type,star_name,star_mass,star_radius,star_teff,star_metallicity,star_distance,star_sp_type,discovered,updated,publication
109 Psc b,Confirmed,5.743,1.152,1075.4,2.051,0.104,"Radial Velocity, Astrometry",109 Psc,1.13,1.79,5600.0,0.1,32.56,G5 IV,2000,2024-06-14,Published in a refereed paper
112 Psc b,Confirmed,0.37,0.219,4.4,0.054,0.376,Radial Velocity,112 Psc,1.1,1.801,5986.0,0.31,31.7627,G0IV,2022,2024-06-14,Published in a refereed paper
112 Psc c,Confirmed,9.866,0.219,6979.699999999986,13.465749999999817,0.174,"Radial Velocity, Astrometry",112 Psc,1.1,1.801,5986.0,0.31,31.7627,G0IV,2022,2024-06-14,Published in a refereed paper
11 UMi b,Confirmed,0.37,0.219,516.22,1.54,0.08,Radial Velocity,11 UMi,1.8,24.08,4340.0,0.04,119.5,K4III,2009,2023-03-03,Published in a refereed paper
14 And Ab,Confirmed,0.37,0.219,185.84,0.83,0.0,Radial Velocity,14 And A,2.2,11.0,4813.0,-0.24,76.4,K0III,2008,2024-07-30,Published in a refereed paper
14 Her b,Confirmed,8.9,0.219,1767.56,2.839,0.3683,"Radial Velocity, Astrometry",14 Her,0.9,0.708,5311.0,0.43,18.1,K0 V,2002,2025-06-12,Published in a refereed paper
14 Her c,Confirmed,7.9,0.219,6979.699999999986,13.465749999999817,0.52,"Radial Velocity, Astrometry, Imaging",14 Her,0.9,0.708,5311.0,0.43,18.1,K0 V,2006,2025-06-12,Submitted to a professional journal
16 Cyg Bb,Confirmed,0.37,0.219,799.5,1.68,0.689,Radial Velocity,16 Cyg B,1.01,0.98,5766.0,0.08,21.41,G2.5 V,1996,2024-07-28,Published in a refereed paper
18 Del Ab,Confirmed,0.37,0.219,993.3,2.6,0.08,Radial Velocity,18 Del A,2.3,8.5,4979.0,-0.052,73.1,G6III,2008,2024-08-02,Published in a refereed paper
23 Lib b,Confirmed,0.37,0.219,258.19,0.81,0.233,Radial Velocity,23 Lib,1.07,1.25,5740.0,0.25,22.2,G5 V,1999,2024-05-28,Published in a refereed paper
23 Lib c,Confirmed,0.37,0.219,5000.0,5.8,0.12,Radial Velocity,23 Lib,1.07,1.25,5740.0,0.25,22.2,G5 V,2009,2024-05-28,Published in a refereed paper
24 Boo b,Confirmed,0.37,0.219,30.3506,0.19,0.042,Radial Velocity,24 Bo&ouml;,0.99,10.64,4893.0,-0.77,100.0,G3IV,2018,2023-08-07,Published in a refereed paper
24 Sex b,Confirmed,0.37,0.219,452.8,1.333,0.09,Radial Velocity,24 Sex,1.54,4.9,5098.0,-0.03,72.2084,G5,2010,2021-10-02,Published in a refereed paper
24 Sex c,Confirmed,0.37,0.219,883.0,2.08,0.29,Radial Velocity,24 Sex,1.54,4.9,5098.0,-0.03,72.2084,G5,2010,2021-10-02,Published in a refereed paper
2M 1253+2734 b,Confirmed,0.37,0.219,24.31,0.102,0.681,Radial Velocity,2M 1253+2734,0.95,0.96,5540.0,,395.297,Unknown,2021,2022-02-08,Published in a refereed paper
2M1510 (AB)b,Confirmed,0.031,0.219,100.0,0.102,0.062,Radial Velocity,2M1510(AB),0.066,0.96,5540.0,,35.51,Unknown,2025,2025-04-18,Published in a refereed paper
2MASS J0437+2651 b,Confirmed,4.0,0.219,10.924709,13.465749999999817,0.062,Imaging,2MASS J0437+2651,0.0165,0.84,3100.0,0.01,128.1,M4V,2021,2024-07-17,Published in a refereed paper
