,kepid,koi_disposition,koi_score,koi_period,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,koi_slogg,koi_kepmag
kepid,1.0,0.10578135289073838,0.08742143353165435,0.011511158554373303,0.003612099222127865,-0.05760226575347843,-0.012198496301073232,-0.02501572118648598,-0.02666097344912677,0.0512741587380509,0.017521112215518553
koi_disposition,0.10578135289073838,1.0,0.8461498448380321,-0.007303600924622008,-0.022399983353802323,-0.273557909176117,-0.040895475707150984,-0.2031562665564404,-0.07753814245882182,0.1611188591621167,0.0538098264455365
koi_score,0.08742143353165435,0.8461498448380321,1.0,-0.004199947771550377,-0.007379814502413562,-0.27709339882512357,-0.030565662968436665,-0.17703692690411865,-0.06988507323874611,0.136823964738941,0.03829086790634563
koi_period,0.011511158554373303,-0.007303600924622008,-0.004199947771550377,1.0,0.005133685107498325,-0.04908687013248148,-0.0026028033863982215,-0.013549370820761332,-0.000993066998251626,0.001876151873477331,-0.009858262371799376
koi_prad,0.003612099222127865,-0.022399983353802323,-0.007379814502413562,0.005133685107498325,1.0,-0.0012490349579592898,0.0029888431735032813,-0.013025142636395749,0.05666893005317165,-0.0973292417203596,-0.02201685195722114
koi_teq,-0.05760226575347843,-0.273557909176117,-0.27709339882512357,-0.04908687013248148,-0.0012490349579592898,1.0,0.42266123250890614,0.24006114443920282,0.43985509983329346,-0.5273741053730321,-0.2510844355936104
koi_insol,-0.012198496301073232,-0.040895475707150984,-0.030565662968436665,-0.0026028033863982215,0.0029888431735032813,0.42266123250890614,1.0,-0.057196854664393795,0.5308399681399694,-0.2858886667412013,-0.06837560353129717
koi_steff,-0.02501572118648598,-0.2031562665564404,-0.17703692690411865,-0.013549370820761332,-0.013025142636395749,0.24006114443920282,-0.057196854664393795,1.0,-0.11719528711008731,-0.1395343232765675,-0.3252905027105505
koi_srad,-0.02666097344912677,-0.07753814245882182,-0.06988507323874611,-0.000993066998251626,0.05666893005317165,0.43985509983329346,0.5308399681399694,-0.11719528711008731,1.0,-0.6392525218632674,-0.16741306710971995
koi_slogg,0.0512741587380509,0.1611188591621167,0.136823964738941,0.001876151873477331,-0.0973292417203596,-0.5273741053730321,-0.2858886667412013,-0.1395343232765675,-0.6392525218632674,1.0,0.46277623944232205
koi_kepmag,0.017521112215518553,0.0538098264455365,0.03829086790634563,-0.009858262371799376,-0.02201685195722114,-0.2510844355936104,-0.06837560353129717,-0.3252905027105505,-0.16741306710971995,0.46277623944232205,1.0
