pl_name,pl_bmasse,pl_rade,pl_orbper,pl_eqt,st_teff,st_met,Habitability,st_spectype_A1 IV-V,st_spectype_A2 V,st_spectype_A5,st_spectype_A5 V,st_spectype_A5V,st_spectype_A7 V,st_spectype_A8,st_spectype_A8 V,st_spectype_Am C,st_spectype_B,st_spectype_B9.5-A0,st_spectype_F,st_spectype_F V,st_spectype_F0,st_spectype_F0 IV,st_spectype_F1 V,st_spectype_F2,st_spectype_F2 V,st_spectype_F3 V,st_spectype_F4,st_spectype_F4 V,st_spectype_F5,st_spectype_F5 IV,st_spectype_F5 V,st_spectype_F5-F8 V,st_spectype_F5V,st_spectype_F6,st_spectype_F6 IV,st_spectype_F6 IV-V,st_spectype_F6 V,st_spectype_F7,st_spectype_F7 V,st_spectype_F7/F8V,st_spectype_F7V,st_spectype_F8,st_spectype_F8 IV,st_spectype_F8 IV/V,st_spectype_F8 V,st_spectype_F8 V CH+0.4,st_spectype_F8/G0 IV/V,st_spectype_F8/G0 V,st_spectype_F9,st_spectype_F9 IV,st_spectype_F9 V,st_spectype_F9.5 V,st_spectype_G,st_spectype_G V,st_spectype_G0,st_spectype_G0 IV,st_spectype_G0 V,st_spectype_G0 VI,st_spectype_G0/1 V,st_spectype_G0/2 V,st_spectype_G0/F9 V,st_spectype_G0V,st_spectype_G0Vvar,st_spectype_G1,st_spectype_G1 IV,st_spectype_G1 V,st_spectype_G1-1.5 V,st_spectype_G1.5 V,st_spectype_G2,st_spectype_G2 IV,st_spectype_G2 V,st_spectype_G2/3 V,st_spectype_G2/3V,st_spectype_G2/G3,st_spectype_G2/G3 IV/V,st_spectype_G2/G3 V,st_spectype_G2V,st_spectype_G3,st_spectype_G3 III,st_spectype_G3 IV,st_spectype_G3 IV-V,st_spectype_G3 IV/V,st_spectype_G3 V,st_spectype_G3/5 V,st_spectype_G3/5V,st_spectype_G3/G5 V,st_spectype_G3V,st_spectype_G4,st_spectype_G4 II-III,st_spectype_G4 IV,st_spectype_G4 V,st_spectype_G5,st_spectype_G5 III,st_spectype_G5 III/IV,st_spectype_G5 IV,st_spectype_G5 IV/V,st_spectype_G5 V,st_spectype_G5IV,st_spectype_G5V,st_spectype_G6,st_spectype_G6 III,st_spectype_G6 IV,st_spectype_G6 V,st_spectype_G6/8 V,st_spectype_G7,st_spectype_G7 III,st_spectype_G7 IV,st_spectype_G7 IV-V,st_spectype_G7 IV/V,st_spectype_G7 V,st_spectype_G7 V Fe-1 CH-0.5,st_spectype_G8,st_spectype_G8 III,st_spectype_G8 III/IV,st_spectype_G8 IV,st_spectype_G8 IV (+ G),st_spectype_G8 IV/V,st_spectype_G8 V,st_spectype_G8 V+,st_spectype_G8.5V,st_spectype_G8/9 IV,st_spectype_G8/G9,st_spectype_G8/K0,st_spectype_G8/K0 III,st_spectype_G8/K0 IV,st_spectype_G8V,st_spectype_G9,st_spectype_G9 III,st_spectype_G9 IV,st_spectype_G9 IV-V,st_spectype_G9 V,st_spectype_G9 V CN+1,st_spectype_G9/K0,st_spectype_K,st_spectype_K V,st_spectype_K0,st_spectype_K0 III,st_spectype_K0 III-IV,st_spectype_K0 III/IV,st_spectype_K0 IV,st_spectype_K0 IV-V,st_spectype_K0 IV/V,st_spectype_K0 V,st_spectype_K0.0 V,st_spectype_K0.5 V,st_spectype_K0/1 III,st_spectype_K0IIIvar,st_spectype_K0V,st_spectype_K1,st_spectype_K1 III,st_spectype_K1 IIIb Fe-0.5,st_spectype_K1 IIIb-IV,st_spectype_K1 IV,st_spectype_K1 IV-V,st_spectype_K1 V,st_spectype_K1 V(P),st_spectype_K1-K2,st_spectype_K1.5 III,st_spectype_K1.5 V,st_spectype_K1/2 V,st_spectype_K1/2III,st_spectype_K1/2V,st_spectype_K1/K2 V,st_spectype_K1III(+M),st_spectype_K1V,st_spectype_K2,st_spectype_K2 II,st_spectype_K2 III,st_spectype_K2 III/ IV,st_spectype_K2 IV,st_spectype_K2 V,st_spectype_K2.5 V,st_spectype_K2III,st_spectype_K2V,st_spectype_K3,st_spectype_K3 III,st_spectype_K3 IV,st_spectype_K3 V,st_spectype_K3.5 V,st_spectype_K3/4 IV,st_spectype_K3V,st_spectype_K4,st_spectype_K4 III,st_spectype_K4 V,st_spectype_K4.5,st_spectype_K4.5 V,st_spectype_K4/5 V,st_spectype_K5,st_spectype_K5 III,st_spectype_K5 V,st_spectype_K5.5,st_spectype_K5/M0V,st_spectype_K6,st_spectype_K6 V,st_spectype_K6-K7,st_spectype_K7,st_spectype_K7 V,st_spectype_K7-M0 V,st_spectype_K7.5 V,st_spectype_K7/M0 V,st_spectype_K7V,st_spectype_K8 V,st_spectype_K9 V,st_spectype_K9 V/M0 V,st_spectype_M,st_spectype_M 4.5V,st_spectype_M V,st_spectype_M(3.5+/-0.5) V,st_spectype_M(6.1 +/- 0.7) V,st_spectype_M0,st_spectype_M0 III,st_spectype_M0 V,st_spectype_M0.0,st_spectype_M0.0 V,st_spectype_M0.5,st_spectype_M0.5 V,st_spectype_M0.5+/-0.5 V,st_spectype_M0.5-1.0 V,st_spectype_M1,st_spectype_M1 III,st_spectype_M1 V,st_spectype_M1.0,st_spectype_M1.0 V,st_spectype_M1.0+/-0.5,st_spectype_M1.5,st_spectype_M1.5 V,st_spectype_M2,st_spectype_M2 III,st_spectype_M2 V,st_spectype_M2+/-0.5,st_spectype_M2.0 V,st_spectype_M2.0V,st_spectype_M2.5,st_spectype_M2.5 III,st_spectype_M2.5 V,st_spectype_M2.5V,st_spectype_M2.5e,st_spectype_M2/3 V,st_spectype_M2V,st_spectype_M3,st_spectype_M3 V,st_spectype_M3+/-1,st_spectype_M3.0,st_spectype_M3.0 V,st_spectype_M3.0V,st_spectype_M3.5,st_spectype_M3.5 V,st_spectype_M4,st_spectype_M4 &#177 0.5 V,st_spectype_M4 V,st_spectype_M4+/-0.5,st_spectype_M4.0,st_spectype_M4.0 V,st_spectype_M4.5 V,st_spectype_M4.5+/-0.5,st_spectype_M5,st_spectype_M5 V,st_spectype_M5.0 V,st_spectype_M5.5 V,st_spectype_M5.5+/-0.5,st_spectype_M5V,st_spectype_M6 V,st_spectype_M7.0 V,st_spectype_m3 V,pl_eqt_norm,pl_rade_norm,pl_bmasse_norm,pl_orbper_norm,st_teff_norm,st_met_norm,Habitability_Score,Stellar_Compatibility
TOI-1260 c,13.2,2.76,7.493134,595.75408,4227.0,-0.1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.08266407802443661,0.07834469004487285,0.0014654757033266874,1.8192574634998885e-08,0.055345659163987135,0.5769230769230769,2.217819902936623,1.4784225822409103
HD 149143 b,422.7139,13.6,4.07182,1353.4874,5856.0,0.29,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.18799546209319593,0.438657138108692,0.04705925433555396,9.681843287910476e-09,0.12081993569131834,0.8269230769230769,2.79453179022876,1.2938968587682416
HD 99492 b,25.5,5.44,17.0503,559.40675,4929.0,0.3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.07761148963343918,0.16742562738906433,0.0028349126801335686,4.196661942174676e-08,0.08356109324758841,0.8333333333333333,2.3314331229502256,1.2502277599142553
nu Oph c,7838.3235,12.0,3180.6,313.45519,4887.0,0.1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.043422128357006845,0.3854744889479807,0.8726860829375123,7.911493239855337e-06,0.08187299035369776,0.7051282051282051,2.638083524721173,1.3767447852254926
75 Cet b,787.89662,13.3,696.62,493.87889,4809.0,0.1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0685025590813765,0.42868539139105866,0.08771736165741688,1.7324385107247566e-06,0.0787379421221865,0.7051282051282051,2.6636432542520385,1.3736097369939815
gam Lib b,357.87479,13.7,414.88,659.97527,4879.0,-0.27,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.09159137031936006,0.44198105368123647,0.03984030516667195,1.0315927392671563e-06,0.08155144694533763,0.4679487179487179,2.654964176112606,1.5495001648940554
HD 113337 c,6299.6769,12.1,5429.9348,139.29974,6667.33,0.07,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.019213037760835605,0.38879840452052516,0.7013788025896922,1.3506853441361787e-05,0.15342966237942124,0.6858974358974358,2.8600623020710896,1.4675322264819854
HD 28109 c,7.943,4.23,56.00819,596.25222,6120.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.08273332372642053,0.12720624896127639,0.0008801805661662179,1.3887679359442485e-07,0.13143086816720256,0.641025641025641,2.3422506214210657,1.4904052271415615
TOI-238 b,3.4,1.402,1.2730991,1331.9858,5059.0,-0.114,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.18500655659318066,0.03320591656971912,0.0003743795754642942,2.719850996240818e-09,0.0887861736334405,0.5679487179487179,2.3073730263718044,1.5208374556847226
TOI-4562 b,732.0,12.53,225.11781,321.83958,6096.0,0.08,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.04458762996550449,0.4030912414824663,0.0814940365918459,5.595474902999038e-07,0.1304662379421222,0.6923076923076923,2.659639145981939,1.43815854563443
