P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST,P.Habitable,Habitability_Score
12.082709,6165.8633,1.29,0,0.8579566954125368
12.229641,4684.7848,1.53,0,0.7353633202940876
12.848516,1525.5744,0.83,0,1.2826492770866413
12.865261,1481.0785,2.93,0,0.4190256273412134
13.421749,565.73385,1.66,0,0.6769155766402294
12.424038,3273.6284,2.6,0,0.46510451383408147
12.56295,2542.624,330.0,0,0.0826294417676219
13.823874,289.22348,0.19,0,5.335496517036207
13.35605,632.47773,1.333,0,0.8250599829737385
13.858291,273.33208,2.08,0,0.5529282004430527
11.959259,7786.7861,52.0,0,0.10284798999670465
16.1424,4417.8092,156.0,0,0.06835891336337367
12.598676,2383.71,15.0,0,0.14604008654031053
12.952003,1271.312,46.0,0,0.09894726573246591
13.383276,603.87321,0.92,0,1.1616766425824874
10.3132,6658.4967,3.1832119,0,0.41111122456669713
12.318663,3972.85,230.0,0,0.08552546687475955
12.26437,4392.383,0.99,0,1.091638015263118
12.629095,2256.5788,0.87,0,1.2286075248800714
12.969374,1233.1727,1.19,0,0.9174408582438427
13.215704,804.10485,2.1,0,0.5518580304879998
14.144978,171.62712,3.6,0,0.34847424687090756
13.470213,521.23792,11.6,0,0.1604447723744747
0.0,0.0,12.0,0,
14.228992,150.01482,0.0527,0,19.045611115484743
13.879517,263.98794,0.115227,0,8.750570143750016
8.5133162,54.47572,0.241376,0,4.2603769998062715
12.969667,1232.537,5.503,0,0.2588220442334914
1.9057,8.0791878,0.01544,0,65.29158094301769
7.5885086,44.813748,0.788,0,1.4008137324687968
13.350175,638.83429,2.11,0,0.5488390344245004
2.1061683,5.085248,0.050201,0,20.394717778984877
4.4511957,18.116196,0.2175,0,4.822359885503775
5.1078157,22.883616,0.476,0,2.296618739023971
13.232029,781.85689,1.93,0,0.5937089145685468
12.604921,2357.0125,0.481,0,2.1583361739956137
13.116992,953.48401,2.1,0,0.5524274671103456
13.604033,416.35468,0.49,0,2.1143239400449283
12.792619,1684.4884,2.5,0,0.4781700760415049
13.079797,1017.0496,0.7,0,1.5050252145132135
12.277019,4290.678,260.0,0,0.08529915151602795
12.686905,2034.0992,1.3,0,0.8480521996742068
13.742892,330.54112,0.78,0,1.354816170256763
13.730809,337.21551,0.576,0,1.8089400318251054
13.703559,352.78908,0.539,0,1.9282613131095432
11.535801,17668.059,1.05,0,1.0390676072565002
12.319965,3963.3152,2.01,0,0.578681499573702
12.924229,1334.8776,1.3,0,0.8466048238068681
2.5783,22.24796,0.27908623,0,3.9709744229067256
13.823874,289.22348,1.0,0,1.072338622299364
13.448934,540.3076,1.7,0,0.6625906296408938
13.484857,508.5248,4.2,0,0.31225249463863336
2.8664188,8.5813561,0.0428,0,23.71335335546881
8.47229,54.03076,0.435,0,2.4168824173431482
3.6130979,12.71312,0.06,0,16.943437467701425
12.521925,104.88324,0.68,0,1.5504481609844567
14.089972,187.51852,0.04,0,25.07097246183314
14.156616,168.44884,2.28,0,0.5092348415230842
12.45239,3108.3579,1.66,0,0.6827155075480406
13.146629,905.80981,1.34,0,0.8223337833736012
12.413529,3337.194,2.6,0,0.4651726540268469
12.31568,3994.7802,210.0,0,0.08595920771228996
12.359231,3686.8048,0.081670999,0,12.32515959720393
24.662,5403.076,440.0,0,0.042820939096585846
16.7029,327.36284,0.025304732,0,39.57817021460731
10.8737,874.02701,0.1055,0,9.57063800228971
16.0303,740.53925,0.0436,0,22.99816168085816
16.1424,291.44828,0.04016,0,24.96234706332762
9.92085,415.71903,0.051,0,19.70864095195828
12.2189,2415.4928,0.027,0,37.11887746457143
13.1157,170.03798,0.0618,0,16.257474274328157
11.4342,772.32205,0.0461,0,21.77943089709446
14.6851,1102.8632,0.0295,0,33.96640131834308
14.4609,352.78908,0.0518,0,19.37417129417627
16.43386,1102.8632,0.02798,0,35.80066412978256
12.910854,1366.6604,0.09,0,11.188565321343834
12.153122,5403.076,2.9,0,0.4271109698510335
14.573,718.29129,0.0417,0,24.04943539850066
4.87635,12.077464,0.092,0,11.074636633511968
11.7705,889.91841,0.048,0,20.918291491440463
3.6993,5.7209041,0.056,0,18.127464269301914
4.9324,27.968864,0.098,0,10.406822691772353
12.1068,85.813561,0.0578,0,17.38363627155456
14.1246,165.27056,0.0526,0,19.08220530919574
11.28847,3302.233,0.0476,0,21.096989325607186
10.70555,153.82875,0.0603,0,16.677157420238306
10.089,270.1538,0.0386,0,26.005853602420324
11.3221,6884.1545,0.057078415,0,17.6080805253715
13.3399,228.83616,0.09,0,11.186074191793875
15.55948,148.42568,0.04947,0,20.278540775529514
13.07086,940.77089,0.0855,0,11.772412492793553
1.6815,3.17828,0.016479635,0,61.275662722575156
2.8306203,8.4001941,0.046,0,22.09240989087921
6.3897,69.922161,0.063,0,16.029517743213223
11.94986,266.97552,0.4021,0,2.570626535136177
6.3897,47.6742,0.071,0,14.241008912450871
12.339484,3823.2484,5.75,0,0.25495370936023776
11.879945,9058.0981,0.36,0,2.8619532516541297
12.388146,3496.108,330.0,0,0.08375263226342637
12.718338,1922.8594,8.19,0,0.20072674768594945
5.70589,27.616484,0.079427582,0,12.765342387235764
1.87207,4.1632686,0.13456027,0,7.965782161204968
0.69502,0.26380241,0.029833021,0,34.95871151800699
1.22189,1.9931486,0.048773043,0,21.321533432161154
1.03132,1.0854299,0.033327101,0,30.97524130123921
0.99769,0.96382171,0.041545756,0,25.072162579060144
1.09858,1.3612778,0.047054567,0,22.16218824265286
1.31157,2.2754822,0.075317114,0,14.039639883645906
1.70392,3.5484667,0.052115256,0,19.775121249750764
1.0089,1.0032039,0.023899659,0,42.83277968221219
1.62545,3.2754986,0.049007764,0,21.020144373311172
0.8968,0.65772873,0.024986426,0,41.13680602378476
0.96406,0.85235786,0.023704372,0,43.22359044705976
1.98417,4.5953145,0.131,0,8.137576859776427
5.76194,28.078642,0.1493,0,6.871476301282309
1.32278,2.3086002,0.031941391,0,32.06332398252148
2.17474,5.369523,0.13965047,0,7.620560023137084
1.60303,3.1991632,0.20243356,0,5.563711020972684
1.121,1.4635061,0.11846153,0,9.333619704651834
2.58951,7.2218056,0.098,0,10.590255078594572
2.6904,7.7059808,0.28,0,3.943120513147275
1.47972,2.7926567,0.015187007,0,66.52156234251908
1.81602,3.9538581,0.0134,0,75.17752040011395
2.73524,7.9252992,0.1091,0,9.531501472628607
11.78171,953.48401,0.07229,0,13.91804926888913
9.90964,70.499802,0.045408131,0,22.123399397831353
12.4431,4131.764,4.5,0,0.30258804745869866
12.185583,5085.248,800.0,0,0.08331419011712447
0.0,0.0,160.0,0,
1.1609198,1.6590622,0.0153,0,66.22086307005111
1.4318957,2.6411507,0.0476,0,21.706778249962472
11.936835,96.69917,0.166,0,6.10787068584874
9.7061586,68.059689,0.912,0,1.199518598754186
2.84734,6.2612117,0.01411,0,71.22292716715017
2.6267538,7.3990359,0.026,0,38.84223649269768
2.61193,22.699276,0.1915,0,5.604790767296622
3.2461593,10.599564,0.0607,0,16.782520934375196
2.4996552,6.8015193,0.1254,0,8.374536834302004
5.9200296,29.39909,1.0304,0,1.1394149687384851
13.887363,260.61896,2.41,0,0.4869456704132421
1.5095953,2.8890565,0.091101,0,11.639257111696168
1.0554253,1.1791419,0.036467,0,28.369538155617402
13.050041,1071.0804,0.49,0,2.1174444382737097
1.1839043,1.7798368,0.0197,0,51.60608418655063
1.8763492,4.1794382,0.057,0,18.07680948596554
3.2283528,10.501037,0.698,0,1.7424202453762063
13.222642,794.57001,1.15,0,0.9451930684667551
13.507553,489.45512,4.4609917,0,0.2981980566795979
13.271242,731.00441,4.5,0,0.2975731200507751
5.1933932,23.538342,0.14339,0,7.166539365842421
4.8682094,21.091066,0.36175,0,2.9697543495320744
2.6683929,7.5992676,0.19394,0,5.530991292247135
1.626761,3.279985,0.08208,0,12.797954317175641
1.2266953,2.0213861,0.03282,0,31.284424444282703
1.323458,2.3106096,0.1264,0,8.666988729238293
2.4581349,6.6108225,0.089,0,11.642767554549984
4.57368,13.898619,0.0355,0,28.387656403165106
1.22189,1.8402241,0.035,0,29.389832846772503
1.6617796,3.4007596,0.061,0,16.99520714094105
2.3442156,6.0991194,0.204,0,5.328542707921776
2.8034041,8.2635281,0.0287,0,35.1999147628605
