kepid,kepoi_name,koi_disposition,koi_score,koi_period,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,koi_slogg,koi_kepmag
10797460,K00752.01,2,1.0,9.48803557,2.26,793.0,93.59,5455.0,0.927,4.467,15.347
10797460,K00752.02,2,0.969,54.4183827,2.83,443.0,9.11,5455.0,0.927,4.467,15.347
10811496,K00753.01,1,0.0,19.89913995,14.6,638.0,39.3,5853.0,0.868,4.544,15.436
10848459,K00754.01,0,0.0,1.736952453,33.46,1395.0,891.96,5805.0,0.791,4.564,15.597
10854555,K00755.01,2,1.0,2.525591777,2.75,1406.0,926.16,6031.0,1.046,4.438,15.509
10872983,K00756.01,2,1.0,11.09432054,3.9,835.0,114.81,6046.0,0.972,4.486,15.714
10872983,K00756.02,2,1.0,4.13443512,2.77,1160.0,427.65,6046.0,0.972,4.486,15.714
10872983,K00756.03,2,0.992,2.56658897,1.59,1360.0,807.74,6046.0,0.972,4.486,15.714
6721123,K00114.01,0,0.0,7.36178958,39.21,1342.0,767.22,6227.0,1.958,3.986,12.66
10910878,K00757.01,2,1.0,16.06864674,5.76,600.0,30.75,5031.0,0.848,4.485,15.841
11446443,K00001.01,2,0.811,2.470613377,13.04,1339.0,761.46,5820.0,0.964,4.457,11.338
10666592,K00002.01,2,1.0,2.204735417,16.1,2048.0,4148.92,6440.0,1.952,4.019,10.463
6922244,K00010.01,2,0.998,3.522498429,14.59,1521.0,1264.67,6225.0,1.451,4.169,13.563
10984090,K00112.02,2,1.0,3.709214104,1.16,1206.0,500.46,5833.0,1.022,4.407,12.772
10419211,K00742.01,0,0.0,11.521446064,150.51,753.0,75.88,5795.0,0.848,4.554,15.472
10464078,K00743.01,0,0.0,19.40393776,7.18,523.0,17.69,5043.0,0.68,4.591,15.487
10480982,K00744.01,0,0.0,19.221388942,49.29,698.0,55.97,6117.0,0.947,4.496,15.341
10485250,K00745.01,0,0.0,16.46983774,7.94,595.0,29.61,5152.0,0.786,4.517,15.788
10526549,K00746.01,2,1.0,9.27358173,2.47,649.0,41.85,4856.0,0.696,4.583,15.302
10583066,K00747.01,2,1.0,6.02930329,2.85,678.0,50.04,4537.0,0.672,4.648,15.784
10583180,K00748.01,0,0.0,2.696370652,1.58,1066.0,305.34,4989.0,0.819,4.504,15.269
10601284,K00749.01,2,1.0,5.349553819,2.55,919.0,168.99,5185.0,0.91,4.44,15.416
10601284,K00749.02,2,0.98,3.94105221,1.7,1018.0,253.15,5185.0,0.91,4.44,15.416
10601284,K00749.03,2,0.971,8.10904807,1.3,800.0,97.03,5185.0,0.91,4.44,15.416
2306756,K00113.01,0,0.4808294015396076,386.6030528,41.5,297.0,1.84,5543.0,1.58,4.081,12.394
10662202,K00750.01,2,1.0,21.67699193,2.95,530.0,18.64,4954.0,0.828,4.5,15.377
10682541,K00751.01,2,1.0,4.99677968,2.78,917.0,166.95,5339.0,0.847,4.552,15.861
11460018,K00769.01,2,1.0,4.280963604,2.3,1012.0,247.87,5644.0,0.831,4.564,15.356
11463211,K00770.01,0,0.0,1.50635409,4.53,1452.0,1054.12,5714.0,0.831,4.563,15.525
11465813,K00771.01,0,0.0,670.645531,14.14,196.0,0.35,5520.0,0.983,4.466,15.207
11493732,K00772.01,0,0.0,61.2563628,39.87,505.0,15.43,6144.0,1.091,4.402,15.25
11507101,K00773.01,2,1.0,38.3775486,2.82,529.0,18.53,5481.0,1.036,4.369,15.172
10910878,K00757.02,2,0.992,41.19725502,3.86,439.0,8.76,5031.0,0.848,4.485,15.841
10910878,K00757.03,2,1.0,6.252962249,2.65,823.0,108.3,5031.0,0.848,4.485,15.841
10987985,K00758.01,2,1.0,16.01308419,3.1,593.0,29.31,5015.0,0.826,4.499,15.39
11018648,K00759.01,2,1.0,32.62876672,3.36,506.0,15.55,5586.0,0.798,4.56,15.082
11018648,K00759.02,2,0.978,91.7732862,2.12,359.0,3.92,5586.0,0.798,4.56,15.082
11138155,K00760.01,2,1.0,4.959319244,12.21,1103.0,349.4,5712.0,1.082,4.359,15.263
11152159,K00761.01,0,0.0,2.701287801,6.54,1222.0,527.81,5550.0,0.91,4.468,15.54
11153539,K00762.01,2,1.0,4.49876511,2.1,1133.0,389.62,6075.0,0.969,4.486,15.395
11242721,K00763.01,0,0.0,19.651209505,12.42,730.0,67.03,6074.0,1.063,4.391,15.536
9579641,K00115.01,2,1.0,5.412203927,2.94,1093.0,337.68,5779.0,1.087,4.339,12.791
11304958,K00764.01,2,0.998,41.43958662,5.5,516.0,16.72,5468.0,1.046,4.367,15.4
11391957,K00765.01,2,1.0,8.35389523,2.52,790.0,91.9,5592.0,0.787,4.582,15.317
11403044,K00766.01,2,1.0,4.125543472,4.43,1243.0,565.35,6174.0,1.103,4.417,15.506
11414511,K00767.01,2,1.0,2.816504904,12.21,1219.0,521.13,5532.0,0.955,4.452,15.052
11442465,K00768.01,0,0.0,33.93373447,7.34,430.0,8.11,5040.0,0.705,4.628,15.716
12110942,K00786.01,2,1.0,3.689920099,1.89,1147.0,408.99,5880.0,0.917,4.518,15.242
12366084,K00787.01,2,1.0,4.431238488,3.25,1104.0,351.23,5714.0,1.015,4.428,15.367
12366084,K00787.02,2,1.0,11.37936986,3.95,806.0,99.68,5714.0,1.015,4.428,15.367
12404086,K00788.01,2,1.0,26.39432897,3.07,489.0,13.49,5129.0,0.763,4.595,15.234
8395660,K00116.01,2,1.0,13.57078281,2.64,785.0,89.61,5854.0,1.012,4.406,12.882
9579641,K00115.02,2,1.0,7.12594387,1.79,997.0,233.31,5779.0,1.087,4.339,12.791
11656840,K00774.01,0,0.014,7.442652004,15.03,967.0,206.78,6108.0,0.956,4.469,15.27
11754553,K00775.01,2,1.0,16.38489988,2.0,433.0,8.35,4126.0,0.615,4.661,15.095
11754553,K00775.02,2,1.0,7.8774163,2.16,553.0,22.18,4126.0,0.615,4.661,15.095
11754553,K00775.03,2,1.0,36.4454001,1.99,332.0,2.88,4126.0,0.615,4.661,15.095
11812062,K00776.01,2,1.0,3.728732147,6.02,1023.0,258.34,5497.0,0.809,4.577,15.523
11818800,K00777.01,1,0.999,40.4195037,7.51,467.0,11.29,5446.0,0.781,4.507,15.487
11853255,K00778.01,2,1.0,2.243380573,1.99,822.0,107.6,4149.0,0.564,4.698,15.135
11909839,K00779.01,0,0.0,10.405998015,11.23,833.0,113.94,5746.0,0.924,4.393,15.562
11918099,K00780.01,2,1.0,2.337437946,2.34,1070.0,311.16,5005.0,0.765,4.595,15.334
11918099,K00780.02,1,0.993,7.2406612,19.45,734.0,68.63,5005.0,0.765,4.595,15.334
9579641,K00115.03,1,0.871,3.43591631,0.55,1272.0,617.61,5779.0,1.087,4.339,12.791
11923270,K00781.01,2,1.0,11.59822233,2.65,396.0,5.82,3688.0,0.473,4.79,15.937
11960862,K00782.01,2,1.0,6.575315881,5.31,1015.0,251.38,5992.0,0.989,4.415,15.312
12020329,K00783.01,2,1.0,7.275040844,4.86,833.0,113.64,5485.0,0.867,4.556,15.08
12066335,K00784.01,2,1.0,19.27153892,1.93,393.0,5.66,4077.0,0.56,4.702,15.385
12066335,K00784.02,2,1.0,10.06524317,1.91,488.0,13.43,4077.0,0.56,4.702,15.385
12070811,K00785.01,2,1.0,12.3935651,2.66,677.0,49.68,5557.0,0.75,4.603,15.505
8395660,K00116.02,2,0.998,43.84439721,2.87,531.0,18.77,5854.0,1.012,4.406,12.882
3120431,K00798.01,0,0.0,3.341913228,21.55,1032.0,268.67,5295.0,0.811,4.551,15.629
3246984,K00799.01,0,0.773,1.626630225,32.43,1547.0,1355.88,5735.0,0.973,4.41,15.279
3342970,K00800.01,2,1.0,2.711504086,3.12,1420.0,960.79,6214.0,1.076,4.442,15.541
3342970,K00800.02,2,1.0,7.21203748,3.32,1025.0,260.58,6214.0,1.076,4.442,15.541
12459725,K00789.01,0,0.4808294015396076,14.1798187,1.88,711.0,60.35,5799.0,0.878,4.539,15.727
12470844,K00790.01,2,1.0,8.47237911,2.59,751.0,75.44,5354.0,0.788,4.587,15.339
12470844,K00790.02,2,0.989,60.4189369,2.36,390.0,5.49,5354.0,0.788,4.587,15.339
12644822,K00791.01,2,1.0,12.611904345,7.4,753.0,76.15,5795.0,0.919,4.508,15.14
