pl_name,habitability_probability,HSI
Kepler-283 c,1.0,0.07696254489481785
LP 890-9 c,1.0,0.3136586218957677
L 98-59 f,1.0,0.24503968253968256
Wolf 1069 b,1.0,0.4836141377454936
TRAPPIST-1 f,1.0,0.5257735999838148
Teegarden's Star c,1.0,0.5268004115226337
Kepler-442 b,1.0,0.3327058232931726
GJ 1002 b,1.0,0.4656790585495676
TRAPPIST-1 e,1.0,0.4846007155393547
Teegarden's Star b,1.0,0.43928619123931617
Kepler-1649 c,1.0,0.4364285714285714
LHS 1140 b,0.9966666666666667,0.14816433566433568
Kepler-62 f,0.9966666666666667,0.2840740740740741
TRAPPIST-1 g,0.9966666666666667,0.47659383874689387
Kepler-1544 b,0.9966666666666667,0.11210371582712007
GJ 1002 c,0.9966666666666667,0.45172036595067616
TOI-715 b,0.9933333333333333,0.218937125748503
Proxima Cen b,0.9833333333333333,0.45204482361703563
Kepler-452 b,0.9833333333333333,0.16211970899470904
Kepler-1410 b,0.98,0.10605447680690398
