pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_eqt,pl_insol,st_teff,st_rad,st_met,planet_density,star_luminosity,HSI,SCI,star_type_G,star_type_K,star_type_M,habitable,star_type_F,habitability_probability,star_type_G,star_type_K,star_type_M
Barnard b,0.72,0.299,3.1542,0.0229,438.0,6.76,5596.0,0.185,0.02,0.8010759602194788,0.03011231397368866,0.04445876288659794,0.005357334190506804,True,False,False,0,0,0.0,True,False,False
Barnard c,0.743,0.335,4.1244,0.0274,400.0,101.32650000000001,5596.0,0.185,0.02,0.8167297318953979,0.03011231397368866,0.004437321276067837,0.005357334190506804,True,False,False,0,0,0.0,True,False,False
Barnard d,0.694,0.263,2.3402,0.0188,483.0,101.32650000000001,5596.0,0.185,0.02,0.7868235265284464,0.03011231397368866,0.002190089240486742,0.005357334190506804,True,False,False,0,0,0.0,True,False,False
Barnard e,0.637,0.193,6.7392,0.0381,340.0,101.32650000000001,5596.0,0.185,0.02,0.7466877251691483,0.03011231397368866,0.005101182109337377,0.005357334190506804,True,False,False,0,0,0.0,True,False,False
CD Cet b,1.82,3.95,2.2907,0.0185,464.0,8.6,5596.0,0.175,0.13,0.6552136427755314,0.02694491206557239,0.007291666666666663,0.004835823782581363,True,False,False,0,0,0.0,True,False,False
CFBDSIR J145829+101343 b,2.48,7.22,8.45778956,0.0787,370.0,101.32650000000001,5596.0,0.94,0.02,0.47334975328119233,0.7774212016698699,0.0,0.005357334190506804,True,False,False,0,0,0.0,True,False,False
COCONUTS-2 b,2.48,7.22,8.45778956,0.0787,434.0,101.32650000000001,5596.0,0.388,0.0,0.47334975328119233,0.1324537091265153,0.0,0.00546448087431694,True,False,False,0,0,0.0,True,False,False
CoRoT-9 b,2.48,7.22,8.45778956,0.0787,420.0,101.32650000000001,5625.0,0.96,-0.01,0.47334975328119233,0.827794283905735,0.0,0.006429214350006429,True,False,False,0,0,0.0,True,False,False
EPIC 211822797 b,1.92,4.35,21.1701963,0.1195,431.0,3.5,4057.0,0.58,0.2,0.6145901150173612,0.08176470381790354,0.008950617283950624,0.00048393341076267905,False,True,False,0,0,0.0033333333333333335,False,True,False
EPIC 248847494 b,2.48,7.22,8.45778956,0.0787,183.0,0.19,4898.0,0.94,-0.23,0.47334975328119233,0.45626870325389696,0.0,0.0009228242112160054,False,True,False,0,0,0.0,False,True,False
