feature,importance
P_TYPE_TEMP_Warm,0.04536301953600712
P_TYPE_Superterran,0.03967394035598906
P_TYPE_Terran,0.03241160382955913
P_TEMP_EQUIL_MIN,0.03232928088520624
P_FLUX_MIN,0.030234573905923927
P_TEMP_EQUIL,0.028087510453480232
P_RADIUS_EST,0.02693683495636115
P_MASS_EST,0.026361694455419454
P_FLUX,0.025814463298019782
P_TEMP_EQUIL_MAX,0.02438298608983487
S_HZ_CON_MIN,0.021156434792728072
S_DISTANCE,0.02020551856578697
S_HZ_OPT_MIN,0.019163100324277003
P_FLUX_MAX,0.018358444506837955
S_HZ_CON0_MIN,0.017049040003894143
P_TYPE_TEMP_Hot,0.015941534337916296
S_HZ_CON0_MAX,0.015929866394426003
S_LUMINOSITY,0.015766854703566945
S_TYPE_TEMP_M,0.015359903696153447
S_MASS_ERROR_MIN,0.015129734033159195
S_HZ_CON_MAX,0.014165464487942307
S_HZ_OPT_MAX,0.013536163614842427
P_DISTANCE,0.01350646398797834
S_ABIO_ZONE,0.01317661593062987
S_RADIUS_ERROR_MIN,0.012963370557815587
S_HZ_CON1_MAX,0.012943867630627577
P_SEMI_MAJOR_AXIS_EST,0.012512220216001745
S_SNOW_LINE,0.011182102994594099
P_DETECTION_Transit,0.010401391667518425
S_TEMPERATURE,0.01037511667786195
P_PERIASTRON,0.0102070603354813
S_RADIUS_EST,0.010189901284166742
P_PERIOD,0.01005537986517141
S_HZ_CON1_MIN,0.009520465058295489
P_APASTRON,0.009462957494867193
P_RADIUS,0.009423259471569995
P_PERIOD_ERROR_MIN,0.009250293378274065
S_DISTANCE_ERROR_MIN,0.008810897869716028
S_RADIUS_ERROR_MAX,0.008577144479065156
S_MASS_ERROR_MAX,0.008187066841389845
S_TEMPERATURE_ERROR_MAX,0.00801301219902934
P_DISTANCE_EFF,0.00796696342009181
P_ESI,0.007837003245312465
S_RA_H,0.007736987199346055
P_ANGULAR_DISTANCE,0.007445263321394236
P_PERIOD_ERROR_MAX,0.0074436570086981214
S_MAG,0.007314542192335915
P_RADIUS_ERROR_MAX,0.00729143844911077
S_DISTANCE_ERROR_MAX,0.007190906578079352
S_METALLICITY_ERROR_MAX,0.006894463844630355
P_RADIUS_ERROR_MIN,0.006868167251889045
S_RA,0.006735369064796032
S_LOG_G,0.0060167393557533115
S_RA_T_23 06 29.2875,0.005963971389671346
P_UPDATED_2017-02-22,0.005937744846105633
S_MASS,0.005681476092102492
S_RADIUS,0.005485655174524889
S_TYPE_G0 V,0.005362777899850246
S_METALLICITY_ERROR_MIN,0.005279370963264363
S_DEC_T_-34 59 48.5772,0.0050144443905148686
P_YEAR,0.004958107113969686
S_TEMPERATURE_ERROR_MIN,0.004925293896410383
S_TYPE_M1.5 V,0.004728219331973297
S_RA_T_19 49 56.8096,0.004409908344668499
S_TIDAL_LOCK,0.004144403979013721
S_DEC_T_-05 02 28.5864,0.004123871135099277
P_SEMI_MAJOR_AXIS,0.003964119758931343
S_RA_T_17 18 58.8237,0.0039363765786290215
S_DEC_T_+16 52 52.6404,0.0037816384286529746
S_DEC,0.0034890207634163863
S_DEC_T_+46 59 48.1776,0.003462503120054965
P_DETECTION_Radial Velocity,0.0030448814630932965
P_UPDATED_2016-05-10,0.0028375112098598223
S_TYPE_TEMP_G,0.002770678935596337
P_UPDATED_2019-01-10,0.0026772701840343904
S_DEC_T_+43 57 18.0612,0.0026352949302875066
S_RA_T_01 44 04.0832,0.0026264811055363296
P_TYPE_Neptunian,0.0025865071274713152
S_DEC_T_+39 16 48.2916,0.0025719799051224313
S_DEC_T_-15 56 14.9280,0.0022071120243456264
S_TYPE_G8.5 V,0.0021554806161586783
S_TYPE_TEMP_K,0.0020876022897802038
S_RA_T_19 26 42.4431,0.002057678847671856
S_RA_T_19 41 13.0856,0.0019776518232312566
S_TYPE_M3 V,0.001871933279853741
S_TYPE_M7.0 V,0.0018590906331386373
S_RA_T_19 54 36.6551,0.0018546735632238797
S_DEC_T_+44 16 39.2196,0.0018408492524117108
S_METALLICITY,0.0018396543879492843
S_TYPE_M1,0.0017323392535570916
S_RA_T_19 18 02.0441,0.0017101919930339348
P_UPDATED_2017-08-17,0.0016019169195301839
S_DEC_T_-06 56 46.5468,0.001551836359839118
S_RA_T_19 05 30.7869,0.0015420303119554467
S_RA_T_19 42 39.0930,0.0015162170032637246
S_DEC_T_-25 10 09.4836,0.001490120132151442
S_RA_T_02 53 00.8905,0.001327268663276063
S_RA_T_04 28 35.7176,0.0013269169516021437
S_DEC_T_+41 48 43.5852,0.0013198385175270872
P_UPDATED_2015-01-14,0.001301691054231095
S_RA_T_19 44 00.8888,0.0012190342028356174
P_UPDATED_2017-11-16,0.0011922971707961686
S_TYPE_M4,0.0011505653092420331
