Column,Missing_Count,Missing_Percentage,Imputed_Value
P_MASS,2450,60.523715415019765,273.33208
P_MASS_ERROR_MIN,2581,63.759881422924906,-24.154928
P_MASS_ERROR_MAX,2581,63.759881422924906,25.108412
P_RADIUS,909,22.455533596837945,2.33168
P_RADIUS_ERROR_MIN,943,23.295454545454543,-0.23541
P_RADIUS_ERROR_MAX,943,23.295454545454543,0.32509
P_PERIOD,110,2.717391304347826,11.870525
P_PERIOD_ERROR_MIN,241,5.953557312252965,-9.392e-05
P_PERIOD_ERROR_MAX,241,5.953557312252965,9.456e-05
P_SEMI_MAJOR_AXIS,1681,41.526679841897234,0.118
P_SEMI_MAJOR_AXIS_ERROR_MIN,2485,61.38833992094862,-0.003
P_SEMI_MAJOR_AXIS_ERROR_MAX,2484,61.36363636363637,0.003
P_ECCENTRICITY,2668,65.9090909090909,0.1
P_ECCENTRICITY_ERROR_MIN,3077,76.01284584980237,-0.04
P_ECCENTRICITY_ERROR_MAX,3077,76.01284584980237,0.05
P_INCLINATION,3204,79.1501976284585,88.1
P_INCLINATION_ERROR_MIN,3236,79.9407114624506,-0.5
P_INCLINATION_ERROR_MAX,3238,79.9901185770751,0.5
P_ANGULAR_DISTANCE,1687,41.67490118577075,0.368
P_IMPACT_PARAMETER,2639,65.19268774703558,0.38
P_IMPACT_PARAMETER_ERROR_MIN,2641,65.24209486166008,-0.22
P_IMPACT_PARAMETER_ERROR_MAX,2641,65.24209486166008,0.22
S_MAG,179,4.421936758893281,13.701
S_DISTANCE,6,0.14822134387351776,479.5
S_DISTANCE_ERROR_MIN,81,2.0009881422924902,-13.48
S_DISTANCE_ERROR_MAX,81,2.0009881422924902,13.72
S_METALLICITY,1206,29.792490118577074,0.02
S_METALLICITY_ERROR_MIN,1602,39.57509881422925,-0.107
S_METALLICITY_ERROR_MAX,1602,39.57509881422925,0.105
S_MASS,765,18.898221343873516,0.97
S_MASS_ERROR_MIN,1014,25.049407114624504,-0.05
S_MASS_ERROR_MAX,985,24.33300395256917,0.05
S_RADIUS,325,8.028656126482213,0.97
S_RADIUS_ERROR_MIN,472,11.6600790513834,-0.06
S_RADIUS_ERROR_MAX,444,10.968379446640316,0.08
S_AGE,2017,49.82707509881423,4.07
S_AGE_ERROR_MIN,2161,53.38438735177866,-2.01
S_AGE_ERROR_MAX,2161,53.38438735177866,2.5
S_TEMPERATURE,207,5.113636363636364,5598.0
S_TEMPERATURE_ERROR_MIN,398,9.83201581027668,-90.0
S_TEMPERATURE_ERROR_MAX,368,9.090909090909092,89.36
S_LOG_G,473,11.684782608695652,4.44
P_HILL_SPHERE,2502,61.80830039525692,0.00596439515
P_DISTANCE,70,1.7292490118577075,0.103
P_PERIASTRON,70,1.7292490118577075,0.1
P_APASTRON,70,1.7292490118577075,0.10464993
P_DISTANCE_EFF,70,1.7292490118577075,0.102557515
P_FLUX,327,8.07806324110672,71.398057
P_FLUX_MIN,327,8.07806324110672,68.632631
P_FLUX_MAX,327,8.07806324110672,75.648141
P_TEMP_EQUIL,327,8.07806324110672,740.24847
P_TEMP_EQUIL_MIN,327,8.07806324110672,733.29306
P_TEMP_EQUIL_MAX,327,8.07806324110672,751.35378
S_RADIUS_EST,204,5.0395256916996045,0.97
S_LUMINOSITY,262,6.472332015810276,0.90503488
S_HZ_OPT_MIN,262,6.472332015810276,0.71889165
S_HZ_OPT_MAX,262,6.472332015810276,1.6944161
S_HZ_CON_MIN,262,6.472332015810276,0.910568965
S_HZ_CON_MAX,262,6.472332015810276,1.6064604
S_HZ_CON0_MIN,262,6.472332015810276,0.96297166
S_HZ_CON0_MAX,262,6.472332015810276,1.6064604
S_HZ_CON1_MIN,262,6.472332015810276,0.878997425
S_HZ_CON1_MAX,262,6.472332015810276,1.6064604
S_SNOW_LINE,262,6.472332015810276,2.5685997
S_ABIO_ZONE,965,23.838932806324113,1.4291185
S_TIDAL_LOCK,767,18.947628458498023,0.44835697
P_ESI,327,8.07806324110672,0.2711924
P_SEMI_MAJOR_AXIS_EST,70,1.7292490118577075,0.102199455
