Sampling,Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,TP,FP,TN,FN
SMOTE,Logistic Regression,0.9950617283950617,0.995554008477985,0.9950617283950617,0.9952663301303112,0.998980691490634,0.9988956220346737,3,2,797,0
SMOTE,Linear SVM,0.9962962962962963,0.9967901234567901,0.9962962962962963,0.996501671085961,0.9992067015487254,0.9989972144542038,3,1,798,0
SMOTE,Random Forest,0.991358024691358,0.9904551891875251,0.991358024691358,0.9905243706409644,0.998972998545837,0.9982973172368473,3,1,797,1
Borderline-SMOTE,Logistic Regression,0.9950617283950617,0.995554008477985,0.9950617283950617,0.9952663301303112,0.998980691490634,0.9988956220346737,3,2,797,0
Borderline-SMOTE,Linear SVM,0.9962962962962963,0.9967901234567901,0.9962962962962963,0.996501671085961,0.9992067015487254,0.9989972144542038,3,1,798,0
Borderline-SMOTE,Random Forest,0.9938271604938271,0.9940925464117485,0.9938271604938271,0.9929138767008617,0.9987446880435539,0.9978992521611085,4,1,798,0
SMOTE+Tomek,Logistic Regression,0.9950617283950617,0.995554008477985,0.9950617283950617,0.9952663301303112,0.998980691490634,0.9988956220346737,3,2,797,0
SMOTE+Tomek,Linear SVM,0.9962962962962963,0.9967901234567901,0.9962962962962963,0.996501671085961,0.9992067015487254,0.9989972144542038,3,1,798,0
SMOTE+Tomek,Random Forest,0.991358024691358,0.9904551891875251,0.991358024691358,0.9905243706409644,0.998972998545837,0.9982973172368473,3,1,797,1
ADASYN,Logistic Regression,0.9950617283950617,0.995554008477985,0.9950617283950617,0.9952663301303112,0.9990959998251204,0.9991132204360863,3,2,797,0
ADASYN,Linear SVM,0.9962962962962963,0.9967901234567901,0.9962962962962963,0.996501671085961,0.9992067015487254,0.9989972144542038,3,1,798,0
ADASYN,Random Forest,0.9950617283950617,0.9950709760946964,0.9950617283950617,0.9948590534979425,0.9993020059377402,0.9984564280106131,3,1,798,1
Baseline (No Sampling),Logistic Regression,0.9950617283950616,0.9946594534609516,0.9950617283950616,0.994752781169448,0.9989730214358288,0.9984771887805602,0,0,0,0
Baseline (No Sampling),Linear SVM,0.9962962962962963,0.99679012345679,0.9962962962962963,0.996501671085961,0.9996556410534904,0.9990694559896556,0,0,0,0
Baseline (No Sampling),Random Forest,0.991358024691358,0.9909925680240772,0.991358024691358,0.990119297921336,0.9978475892012496,0.998307580012098,0,0,0,0
