P_NAME,P_MASS_EST,P_RADIUS_EST,P_PERIOD,P_DISTANCE,P_TEMP_EQUIL,S_TEMPERATURE,S_LUMINOSITY,S_RADIUS,S_MASS,S_METALLICITY,Predicted_Class,Habitability_Score,Confidence_Conservative,Confidence_Optimistic
Kepler-705 b,5.0906262,2.10748,56.056054,0.23192623,243.27842,3722.0,0.044723365,0.51,0.53,0.07,2,0.99996936,3.6724472e-05,0.99993265
Kepler-440 b,4.2910395,1.9057,101.11141,0.2559876,275.12777,4134.0,0.082062849,0.56,0.57,-0.3,2,0.9999687,4.581946e-05,0.9999229
Kepler-26 e,6.3932195,2.41015,46.827915,0.22,262.67071,3914.0,0.054690549,0.51,0.54,-0.13,2,0.99996084,3.1270927e-05,0.99992955
Kepler-443 b,6.1428456,2.3541,177.6693,0.49799475,249.13348,4723.0,0.22473832,0.71,0.74,-0.01,2,0.9999534,3.454328e-05,0.9999188
Kepler-296 f,3.9125102,1.80481,63.33627,0.26888475,224.59151,3740.0,0.040388482,0.48,0.5,-0.08,2,0.999945,0.0002539644,0.999691
K2-18 b,8.921432,2.36531,32.939623,0.145758,257.45111,3457.0,0.021510667,0.41,0.36,0.12,2,0.99994403,4.797036e-05,0.99989605
GJ 357 d,6.0991194,2.3442156,55.661,0.204,199.4479,3505.0,0.015631425,0.34,0.34,-0.12,2,0.99993485,4.2129723e-05,0.9998927
Kepler-1552 b,6.6476898,2.4662,184.77185,0.60127494,261.15489,5202.0,0.39917124,0.78,0.85,-0.07,2,0.99992496,6.193506e-05,0.999863
GJ 667 C e,2.542624,1.4001882,62.24,0.2130426,209.62335,3350.0,0.020796086,,0.33,-0.55,1,0.9999221,0.9997948,0.00012732188
GJ 1061 d,1.68,1.164989,13.031,0.054,221.23098,2953.0,0.0016580271,0.156,0.12,-0.08,1,0.99991924,0.9998481,7.1129834e-05
Kepler-22 b,6.2425017,2.37652,289.8623,0.849,261.31116,5518.0,0.79775141,0.98,0.97,-0.29,2,0.99991465,5.8522215e-05,0.9998561
Teegarden's Star b,1.0488324,1.0214981,4.91,0.0252,267.42977,2904.0,0.00077101081,0.11,0.09,-0.19,1,0.9999121,0.99984515,6.692367e-05
GJ 3323 b,2.0213861,1.2266953,5.3636,0.033688089,265.35756,3159.0,0.0012848418,0.12,0.16,-0.27,1,0.9999059,0.99978846,0.00011742171
Kepler-442 b,2.3754251,1.3452,112.3053,0.4093272,234.98364,4402.0,0.12111315,0.6,0.61,-0.37,1,0.9999041,0.999684,0.00022009043
Kepler-283 c,3.9538581,1.81602,92.743711,0.341,247.9513,4351.0,0.10432651,0.57,,,2,0.99990165,3.8646504e-05,0.999863
GJ 667 C f,2.542624,1.4001882,39.026,0.1560702,244.93653,3350.0,0.020796086,,0.33,-0.55,1,0.9998899,0.9997718,0.00011816307
Kepler-296 e,2.9378483,1.52456,34.14211,0.17820205,275.87991,3740.0,0.040388482,0.48,0.5,-0.08,2,0.9998871,0.00038503652,0.99950206
Kepler-61 b,5.2758784,2.15232,59.87756,0.26613965,273.34836,4017.0,0.089676645,0.62,0.64,0.03,2,0.9998756,8.176842e-05,0.9997938
Kepler-1653 b,5.369523,2.17474,140.2524,0.4706,256.56049,4807.0,0.22776307,0.69,0.72,-0.18,2,0.99986845,0.00017210259,0.9996964
Kepler-1652 b,3.1991632,1.60303,38.09722,0.1654,243.05458,3638.0,0.022662437,0.38,0.4,-0.3,2,0.9998575,0.00028608376,0.9995714
GJ 1061 c,1.75,1.1783333,6.689,0.035,274.79498,2953.0,0.0016580271,0.156,0.12,-0.08,1,0.9998475,0.9997476,9.990183e-05
GJ 163 c,6.8015193,2.4996552,25.63058,0.12601452,269.09231,3500.0,0.019619483,0.382,0.4,0.1,2,0.999844,0.00011215059,0.99973184
Proxima Cen b,1.271312,1.0778216,11.186,0.051470625,226.6055,3050.0,0.0015196518,0.14,0.12,,1,0.9998383,0.9996973,0.00014098796
Kepler-1410 b,3.8303511,1.78239,60.866168,0.25954165,274.2362,4092.0,0.090434397,0.6,0.63,0.01,2,0.9998382,0.00030343368,0.9995347
K2-296 b,4.1554556,1.87,28.1656,0.13456,277.27227,3772.0,0.025402595,0.37424099,0.41,0.0,2,0.99983776,9.270109e-05,0.9997451
Kepler-62 e,3.2372384,1.61424,122.3874,0.427,265.76596,4925.0,0.21591039,0.64,0.69,-0.37,2,0.9998352,0.0016592123,0.998176
