pl_name,pl_rade,pl_eqt,habitability_score
TOI-1693 b,2.122,384.0,1.0
TOI-1710 b,2.19,395.0,1.0
TOI-2368 b,2.08,368.0,1.0
TOI-2015 b,2.0,383.0,1.0
TOI-1246 b,1.672,326.0,1.0
TOI-1248 b,2.126,338.1,1.0
HIP 65 A b,2.39,359.0,1.0
TOI-1052 b,1.98,346.0,0.9866666666666668
HD 93963 A b,1.32,396.0,0.9766666666666668
TOI-1685 b,1.33,297.0,0.9733333333333334
HD 86226 c,2.438,324.4,0.9733333333333334
TOI-1680 b,2.3,329.0,0.9733333333333334
TOI-1683.01,1.25,347.0,0.93
GJ 341 b,0.958,314.6,0.8966666666666666
TOI-125 b,2.47,373.0,0.5866666666666667
NGTS-30 b,3.65,329.6,0.1333333333333333
TOI-431 b,2.047,420.0,0.1
TOI-1670 c,3.6831179,300.33,0.0933333333333333
HD 63935 b,1.627,416.0,0.07
TOI-1301.01,1.39,831.0,0.05
